ID,POTS1,POTS2,POTS3,POTS4,POTS5,POTS6,POTS7,POTS8,POTS9,POTS10,POTS11,POTS12,POTS13,POTS14,POTS15,POTS16,POTS17,POTS18,POTS19,POTS20,POTS21,POTS22,POTS23,POTS24
62,2,4,6,3,3,5,4,3,3,4,4,5,4,6,5,5,3,4,6,6,5,6,5,5
63,2,6,6,7,5,6,4,5,1,5,2,4,5,7,6,7,3,5,6,5,6,7,6,7
64,4,6,5,4,6,6,7,5,1,7,5,4,4,6,6,7,5,5,6,7,5,5,5,5
65,4,5,5,6,4,6,5,5,5,5,4,5,5,5,5,6,6,6,6,,6,6,6,6
66,2,6,6,3,4,6,6,6,3,6,3,5,2,7,6,6,4,5,5,6,6,6,5,6
67,5,6,7,4,4,6,3,4,2,4,3,4,5,6,6,6,7,4,6,6,6,5,6,4
68,2,6,7,7,6,6,2,6,3,6,5,5,5,5,6,7,4,5,6,6,7,7,6,5
69,3,3,5,2,4,4,5,5,3,1,2,1,1,6,6,6,7,2,2,5,2,3,5,1
70,2,5,6,7,6,7,6,6,1,4,5,5,6,7,7,7,6,5,6,6,6,7,7,7
71,2,6,6,6,4,6,2,4,2,4,3,5,5,5,6,6,6,4,6,6,6,5,5,7
72,2,6,7,2,5,6,7,6,2,5,5,2,5,7,6,6,6,5,6,6,6,7,5,7
73,2,6,7,5,7,7,5,6,1,4,5,5,5,5,7,5,7,7,7,5,6,6,6,5
74,1,3,6,6,6,7,2,6,6,7,6,6,5,7,7,7,7,6,7,7,5,7,5,7
75,1,4,6,4,7,7,5,6,1,3,2,6,6,7,6,5,6,7,6,6,6,4,5,7
76,2,6,5,5,4,6,3,6,2,5,3,5,5,5,5,5,5,5,6,6,5,5,6,5
77,2,5,6,5,5,6,7,6,2,5,5,5,4,5,5,5,5,5,5,5,5,6,5,5
78,2,6,6,6,5,7,2,5,1,5,2,5,5,6,6,6,7,3,5,6,7,7,5,5
79,1,3,7,7,7,7,6,6,1,6,2,6,6,6,6,6,6,7,7,7,7,7,6,6
80,2,6,7,4,3,7,7,5,1,6,3,5,3,6,6,5,6,3,6,6,5,5,7,5
81,2,6,7,6,4,6,4,5,6,6,4,6,5,7,6,6,5,4,6,6,5,6,7,7
82,5,6,7,6,4,6,5,6,3,6,5,5,5,4,7,6,5,3,6,6,6,6,6,6
83,2,6,6,6,6,6,2,6,2,7,3,7,7,7,7,6,7,6,5,5,7,6,5,4
84,5,7,7,7,5,6,5,4,2,6,5,2,5,4,7,6,7,3,5,5,3,6,5,7
85,6,6,7,3,3,5,6,4,4,5,7,2,4,4,5,5,5,3,6,5,4,5,4,6
86,5,7,7,5,3,5,4,4,2,6,4,4,3,3,6,6,5,4,6,6,4,6,5,6
87,1,6,7,7,5,3,5,5,1,7,3,5,3,6,7,7,6,3,7,6,7,7,7,7
88,2,6,6,5,3,5,5,4,6,6,4,4,4,4,6,6,5,5,5,6,5,4,4,5
89,4,6,7,4,3,5,5,3,2,3,4,2,3,4,5,6,6,2,4,4,2,3,2,3
90,2,7,6,4,4,3,4,4,1,6,4,,6,7,5,4,5,,4,5,5,4,4,4
91,1,6,7,7,6,3,3,3,7,7,7,6,3,6,6,6,7,3,3,7,7,7,7,7
92,5,5,6,6,3,5,6,3,3,6,7,2,4,5,6,5,2,2,6,5,2,6,5,7
93,2,7,7,7,7,7,3,7,4,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7
94,3,7,7,7,5,5,5,5,2,7,3,5,4,6,6,7,5,3,7,7,7,7,7,7
95,1,6,6,4,5,6,5,4,3,5,3,4,4,5,6,6,6,4,6,5,5,5,5,5
96,1,6,7,6,6,7,2,6,1,6,2,6,6,6,6,6,2,2,7,7,6,7,6,7
97,3,4,7,5,2,6,5,4,1,6,6,4,5,5,6,5,1,1,5,2,2,5,2,7
98,2,4,7,6,4,7,5,5,3,5,2,6,4,5,6,5,3,4,7,4,6,6,4,7
99,1,7,7,6,6,7,2,6,1,7,1,6,7,7,7,7,6,7,7,7,7,7,7,7
100,2,6,4,6,4,6,2,3,2,6,5,6,3,6,7,6,6,6,6,5,6,6,4,7
101,4,6,7,5,5,5,4,5,3,6,2,4,4,4,5,4,6,4,5,5,5,6,5,5
102,2,6,7,7,5,7,3,6,2,6,3,5,6,5,5,6,6,5,7,6,6,6,5,7
103,3,6,6,6,5,5,5,4,4,5,3,4,4,6,4,4,6,4,4,4,5,6,4,7
104,1,7,7,4,3,7,6,,2,6,3,4,5,4,7,6,5,5,7,7,7,7,7,7
105,3,5,6,7,5,6,5,5,2,5,3,4,4,4,5,5,4,5,6,5,5,5,4,5
106,4,5,5,5,4,6,5,5,3,4,4,5,3,5,5,5,4,6,6,5,5,5,5,6
107,4,6,7,7,3,6,5,4,4,6,2,4,4,4,6,7,6,3,6,6,5,7,4,7
108,4,6,7,7,2,7,7,6,3,6,5,3,2,3,4,4,6,1,4,2,,7,2,7
109,3,7,7,7,5,7,3,3,3,5,7,3,2,4,5,5,5,5,3,3,5,7,5,7
110,5,6,7,4,2,4,3,5,5,6,4,2,4,3,7,5,7,7,6,6,5,6,4,6
111,3,5,7,5,4,6,7,4,3,7,7,4,3,4,5,5,7,4,6,3,4,6,3,7
112,3,6,7,7,7,7,2,5,5,6,4,5,5,6,7,7,7,7,7,5,7,7,5,7
113,3,7,7,7,7,7,5,7,1,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7
114,4,6,6,6,4,6,6,6,3,5,4,4,4,5,5,6,5,4,6,3,5,7,3,6
115,4,6,6,5,5,3,3,4,2,5,3,3,3,3,3,3,5,3,5,3,3,5,5,3
116,2,6,7,6,4,6,5,5,2,6,2,4,4,5,5,6,6,6,6,4,5,4,6,6
117,6,7,7,6,5,6,6,6,2,6,2,5,2,6,6,6,6,2,7,6,6,6,6,6
118,1,5,5,6,,7,5,5,1,6,5,3,3,5,7,6,7,5,4,7,7,7,7,7
119,1,6,7,7,5,7,3,5,1,7,5,5,2,7,7,7,7,7,7,7,7,7,7,7
120,2,7,7,7,6,6,3,4,4,6,3,7,6,7,7,6,4,4,6,6,7,6,4,6
121,1,2,6,6,6,6,2,4,4,4,4,5,6,6,6,5,6,5,5,5,5,6,4,6
122,4,7,7,7,6,7,6,6,2,6,2,6,7,7,7,6,7,6,7,5,6,6,7,7
123,4,6,7,7,4,7,5,5,6,7,4,5,3,5,7,7,7,3,7,7,6,6,4,7
124,6,7,6,6,6,6,6,5,3,6,2,5,3,5,6,6,5,6,6,6,7,6,6,6
125,2,6,6,6,5,7,4,6,3,6,2,6,5,6,6,6,5,5,6,6,6,6,6,6
126,1,4,6,4,6,6,3,6,5,5,2,6,5,6,6,6,5,6,5,6,6,6,6,6
127,2,6,7,7,3,6,6,4,2,7,1,5,2,7,7,4,5,3,6,6,6,7,6,7
128,2,6,7,7,7,7,5,4,1,6,2,6,4,6,6,6,6,6,6,6,6,6,6,6
129,3,6,7,4,4,6,5,5,3,4,3,6,6,7,7,7,7,5,6,4,5,4,4,3
130,4,4,7,7,7,7,7,7,1,4,1,7,7,7,7,7,7,6,6,4,7,7,7,7
131,2,6,7,7,5,7,5,5,5,7,4,5,6,7,7,7,7,5,5,5,7,7,6,6
132,2,6,6,6,4,6,2,4,2,5,6,5,4,6,6,6,4,4,4,6,4,6,4,7
133,4,4,6,5,5,5,6,5,5,7,6,3,4,4,5,5,4,4,6,4,4,4,3,7
134,2,7,7,7,5,7,6,5,1,7,2,5,7,7,7,7,7,5,7,6,7,6,7,7
135,1,6,6,6,6,7,3,5,5,6,4,5,5,6,6,7,6,6,6,6,6,6,6,6
136,1,7,7,7,4,7,3,6,4,7,4,6,5,7,7,4,6,6,6,6,7,7,7,7
137,2,7,7,6,4,4,4,4,2,4,3,4,5,4,5,6,7,3,4,4,6,6,5,7
138,1,7,7,7,5,7,6,6,4,7,2,6,4,7,6,7,4,4,7,7,7,7,6,7
139,5,7,7,6,4,7,4,5,5,7,3,4,5,5,6,6,6,6,6,4,7,5,4,6
140,2,7,7,7,7,6,3,6,1,6,2,6,6,7,7,7,5,6,7,5,6,4,5,6
141,6,6,4,4,5,6,3,5,4,3,4,4,2,5,5,4,4,5,4,4,5,5,3,3
142,3,4,7,7,5,6,4,4,2,4,5,4,4,6,7,7,4,5,7,7,6,5,4,6
143,4,6,7,5,6,4,3,4,3,7,3,4,4,7,4,6,5,4,5,6,4,5,5,4
144,2,6,7,6,4,5,4,4,1,6,5,4,4,4,5,6,4,3,6,,4,6,4,6
145,1,7,7,7,6,7,3,6,2,7,5,7,7,7,7,7,7,6,7,7,7,6,7,7
146,2,7,7,6,3,5,2,6,1,6,2,5,5,5,5,6,3,4,6,6,3,6,5,7
147,2,6,6,6,5,6,5,5,3,6,3,6,4,5,6,6,5,5,6,6,5,6,6,6
148,2,7,7,7,5,6,2,5,1,7,2,6,6,6,6,6,4,5,6,6,5,6,5,7
149,1,4,7,7,5,7,6,4,1,7,1,7,6,7,7,7,7,7,7,6,7,7,7,7
150,2,6,7,7,6,6,4,4,2,6,4,6,7,6,6,7,7,4,5,5,5,6,7,7
151,1,7,7,7,5,7,2,6,1,5,1,6,7,7,7,7,5,7,7,7,7,6,5,7
152,1,6,7,7,4,5,4,6,5,4,3,5,4,6,6,6,3,4,5,4,6,6,5,5
153,2,7,7,7,6,7,2,6,4,7,3,5,5,5,5,5,5,6,6,7,6,7,7,7
154,1,7,7,4,5,7,2,4,2,7,2,4,4,6,7,7,6,5,7,7,7,7,7,7
155,2,6,7,7,5,6,4,5,3,6,5,6,6,7,7,7,6,5,6,5,5,6,5,7
156,2,7,7,7,6,6,6,6,1,6,2,6,6,6,7,7,6,4,7,5,7,7,6,7
157,2,6,7,7,3,7,2,5,2,6,2,4,4,7,7,6,7,7,7,4,5,,4,7
158,2,5,7,6,7,7,3,7,3,7,1,6,2,6,7,7,7,7,6,7,7,6,7,7
159,2,5,7,7,5,5,4,4,3,6,5,5,4,5,4,5,6,4,5,4,4,5,4,5
160,1,3,7,4,4,7,4,4,2,4,2,4,4,5,6,6,5,6,6,6,7,7,3,6
161,2,6,7,5,5,6,4,5,3,4,3,5,5,6,6,6,7,5,6,5,6,5,5,4
162,1,7,7,6,5,7,3,6,1,6,1,7,6,7,7,7,7,5,7,7,7,5,7,7
163,2,4,7,7,5,7,2,6,1,7,2,6,5,7,7,6,7,6,7,7,6,7,7,7
164,2,4,7,6,7,7,3,5,2,5,2,6,5,6,6,6,6,5,6,6,6,6,7,7
165,4,5,7,7,6,7,2,7,1,4,2,3,4,7,6,5,7,7,6,5,6,7,4,5
166,4,7,7,6,6,7,5,6,5,7,7,6,6,4,7,6,4,7,5,4,5,7,5,7
167,1,7,7,7,5,7,3,7,4,6,4,7,5,5,5,6,6,5,4,5,4,7,7,7
168,2,6,7,6,6,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
169,6,3,7,5,7,7,2,7,1,7,3,5,6,7,7,5,6,7,7,3,7,6,7,7
